start_time,duration_sec
12:15:20,0:00:00
13:05:38,0:00:00
13:15:40,0:00:00
14:30:56,0:00:00
14:41:00,0:00:00
14:25:55,0:00:00
14:30:56,0:00:00
14:41:00,0:00:00
15:01:08,0:00:00
15:11:14,0:00:00
16:01:59,0:00:00
16:07:04,0:00:00
16:12:06,0:00:00
16:27:13,0:00:00
16:42:20,0:00:00
16:47:21,0:00:00
16:52:24,0:00:00
16:57:26,0:00:00
17:02:29,0:00:00
17:12:36,0:00:00
17:17:39,0:00:00
17:27:43,0:00:00
17:37:45,0:00:00
17:42:47,0:00:00
17:47:49,0:00:00
17:52:50,0:00:00
18:02:53,0:00:00
18:22:58,0:00:00
18:27:59,0:00:00
18:33:00,0:00:00
18:38:01,0:00:00
18:43:02,0:00:00
18:48:04,0:00:00
18:53:05,0:00:00
19:13:11,0:00:00
19:18:13,0:00:00
19:23:15,0:00:00
19:28:17,0:00:00
19:33:19,0:00:00
19:38:20,0:00:00
19:53:24,0:00:00
20:49:00,0:00:00
19:08:08,0:00:00
17:42:47,0:00:00
17:52:50,0:00:00
19:13:11,0:00:00
19:23:15,0:00:00
12:45:33,0:00:00
12:55:36,0:00:00
9:59:42,0:00:00
10:09:46,0:00:00
13:55:48,0:00:00
14:05:50,0:00:00
16:07:04,0:00:00
12:15:20,0:00:00
12:35:30,0:00:00
12:45:33,0:00:00
10:09:46,0:00:00
10:19:51,0:00:00
17:12:36,0:00:00
17:22:41,0:00:00
17:57:51,0:00:00
18:17:57,0:00:00
18:07:55,0:00:00
18:17:57,0:00:00
18:27:59,0:00:00
13:35:44,0:00:00
13:45:46,0:00:00
14:41:00,0:00:00
17:42:47,0:00:00
17:47:49,0:00:00
14:05:50,0:00:00
19:18:13,0:00:00
19:28:17,0:00:00
16:42:20,0:00:00
14:20:54,0:00:00
16:22:12,0:00:00
15:06:11,0:00:00
15:16:16,0:00:00
7:23:54,0:00:00
7:33:56,0:00:00
8:09:04,0:00:00
8:29:09,0:00:00
8:54:14,0:00:00
9:04:16,0:00:00
9:19:19,0:00:00
9:24:20,0:00:00
9:29:21,0:00:00
9:34:22,0:00:00
10:14:48,0:00:00
10:19:51,0:00:00
10:44:57,0:00:00
10:55:00,0:00:00
11:05:02,0:00:00
11:10:04,0:00:00
11:20:07,0:00:00
11:40:12,0:00:00
12:35:30,0:00:00
12:55:36,0:00:00
13:10:39,0:00:00
13:30:43,0:00:00
13:50:47,0:00:00
14:00:49,0:00:00
14:20:54,0:00:00
14:25:55,0:00:00
11:35:11,0:00:00
11:45:13,0:00:00
15:31:33,0:00:00
12:10:19,0:00:00
14:46:02,0:00:00
16:27:13,0:00:00
18:17:57,0:00:00
12:35:30,0:00:00
12:45:33,0:00:00
9:54:26,0:00:00
14:41:00,0:00:00
14:51:05,0:00:00
9:59:42,0:00:00
10:09:46,0:00:00
12:50:35,0:00:00
13:00:37,0:00:00
15:11:14,0:00:00
15:21:23,0:00:00
8:39:11,0:00:00
14:56:07,0:00:00
15:06:11,0:00:00
9:54:26,0:00:00
10:04:43,0:00:00
14:46:03,0:00:00
13:00:37,0:00:00
13:10:39,0:00:00
12:50:35,0:00:00
13:00:37,0:00:00
9:04:16,0:00:00
9:14:18,0:00:00
13:55:48,0:00:00
14:05:50,0:00:00
12:50:35,0:00:00
13:00:37,0:00:00
19:13:11,0:00:00
9:39:23,0:00:00
9:09:17,0:00:00
17:22:41,0:00:00
14:41:00,0:00:00
14:51:05,0:00:00
17:07:33,0:00:00
17:22:41,0:00:00
18:43:02,0:00:00
17:12:36,0:00:00
17:22:41,0:00:00
11:20:07,0:00:00
16:32:15,0:00:00
16:42:20,0:00:00
12:00:17,0:00:00
12:10:19,0:00:00
14:46:03,0:00:00
14:56:07,0:00:00
15:06:11,0:00:00
10:49:58,0:00:00
10:55:00,0:00:00
11:05:02,0:00:00
8:59:15,0:00:00
11:55:16,0:00:00
12:05:18,0:00:00
17:42:47,0:00:00
18:43:02,0:00:00
18:53:05,0:00:00
19:13:11,0:00:00
19:23:15,0:00:00
8:49:13,0:00:00
14:51:05,0:00:00
16:07:04,0:00:00
17:57:51,0:00:00
13:05:38,0:00:00
19:08:08,0:00:00
11:35:11,0:00:00
9:49:25,0:00:00
9:59:42,0:00:00
9:49:25,0:00:00
9:59:42,0:00:00
12:55:36,0:00:00
14:41:01,0:00:00
14:51:05,0:00:00
15:51:54,0:00:00
16:01:59,0:00:00
10:49:58,0:00:00
11:00:01,0:00:00
19:13:11,0:00:00
12:45:33,0:00:00
12:55:36,0:00:00
17:07:33,0:00:00
17:17:39,0:00:00
17:22:41,0:00:00
8:59:15,0:00:00
9:09:17,0:00:00
13:25:42,0:00:00
13:35:44,0:00:00
11:10:04,0:00:00
9:19:19,0:00:00
18:58:06,0:00:00
19:08:08,0:00:00